store_id,reward_points
US17168,10
US17172,11
US17173,38
US17175,11
US17177,12
US17178,12
US17182,13
US17183,29
US17185,14
US17189,14
US17190,40
US17191,30
US17192,15
US17197,211
US17198,19
US17200,23
US17202,46
US17203,62
US17205,50
US17206,31
US17207,33
US17208,36
US17209,96
US17211,194
US17214,25
US17244,10
US17245,11
US17246,10
US17247,10
US17249,11
US17253,12
US17254,13
US17255,13
US17256,13
US17260,14
US17261,16
US17262,17
US17266,48
US17267,25
US17268,108
US17269,70
US17270,87
US17271,111
US17273,179
US17274,479
US17313,10
US17315,10
US17318,10
US17321,11
US17323,22
US17325,13
US17326,13
US17328,13
US17330,14
US17333,684
US17335,79
US17336,253
US17413,21
US17416,10
US17417,21
US17419,10
US17420,10
US17422,10
US17425,11
US17426,11
US17429,11
US17430,12
US17431,11
US17432,11
US17433,31
US17435,28
US17436,351
US17437,12
US17438,12
US17443,13
US17446,31
US17447,15
US17451,29
US17452,16
US17455,19
US17456,20
US17457,21
US17459,25
US17460,42
US17463,83
US17496,21
US17497,10
US17498,32
US17500,28
US17502,10
US17503,11
US17504,12
US17506,12
US17510,26
US17511,13
US17512,13
US17513,15
US17514,15
US17515,45
US17517,82
US17518,117
US17520,91
US17592,10
US17595,10
US17597,10
US17601,10
US17603,10
US17604,10
US17605,10
US17606,10
US17607,11
US17610,12
US17612,13
US17617,14
US17618,15
US17621,15
US17625,16
US17626,17
US17628,24
US17629,48
US17632,61
US17634,188
US17635,80
US17667,10
US17670,10
US17673,10
US17674,10
US17676,10
US17677,11
US17678,11
US17680,11
US17681,11
US17685,11
US17686,11
US17687,11
US17688,12
US17692,12
US17693,12
US17694,13
US17695,13
US17696,13
US17697,13
US17698,13
US17700,14
US17701,15
US17703,15
US17704,16
US17705,16
US17706,16
US17707,16
US17709,17
US17710,17
US17712,18
US17719,21
US17723,71
US17724,74
US17726,99
US17727,283
US17728,1467
US192322,109
US4727,468
US4731,5845
US4732,65
US4733,22
US4734,165
US4736,816
US4737,864
US4739,585
US4741,1233
US4744,55
US4750,15
US4751,71
US4753,492
US4755,1835
US4757,409
US4758,523
US4761,1079
US4765,78
US4767,382
US4769,1
US4770,293
US4771,2276
US4776,377
US4778,178
US4779,677
US4780,2258
US4783,406
US4788,361
US4790,562
US4791,59
US4792,198
US4799,280
US4804,50
US4807,50
US4809,282
US4810,219
US4814,194
US4815,10
US4816,39
US4820,81
US4823,119
US4827,10
US4832,17
US4836,48
US4839,28
US4842,138
US4843,175
US4848,178
US4849,27
US4851,86
US4852,1206
US4855,600
US4862,12
US4864,188
US4866,50
US4867,36
US4868,11
US4869,96
US4874,167
US4878,12
US4882,13
US4884,43
US4890,534
US4891,301
US4894,1675
US4895,67
US4901,204
US4903,162
US4904,22
US4905,57
US4908,2002
US4910,566
US4913,18
US4914,11
US4916,10
US4918,19
US4919,34
US4923,154
US4924,413
US4933,51
US4934,16
US4940,105
US4948,111
US4949,75
US4950,42
US4953,574
US4954,233
US4958,94
US4963,13
US4971,152
US4972,216
US4973,35
US4974,17
US4977,109
US4980,1084
US4982,10
US4984,111
US4985,106
US4988,369
US4989,11
US4990,7
US4991,428
US4994,389
US5000,86
US5001,420
US5007,36
US5014,105
US5017,145
US5019,177
US5021,379
US5026,62
US5027,130
US5028,819
US5036,12
US5038,88
US5039,34
US5041,102
US5044,548
US5047,54
US5048,4
US5049,10
